"Group","Scenario","Geography","ValueType","Value","1st centile","5th centile","25th centile","50th centile","75th centile","95th centile","99th centile","Creation Day","Creation Month","Creation Year","Day of Value","Month of Value","Year of Value","Model"
"PHE","forecast - relaxed prior","England","infections",240743.054557739,117441.096107428,143218.438316389,192763.84610184,240743.054557739,306682.087077841,452951.165617868,647083.285332329,12,4,2020,23,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",148397.82644511,75077.519544279,89834.0783558486,119195.352695443,148397.82644511,187010.916794617,271781.159617479,401727.069895268,12,4,2020,24,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",25148.6469220142,2361.3205800145,5627.80770239739,14954.4503283792,25148.6469220142,37367.3317733439,67533.7825616485,93604.5884631433,12,4,2020,25,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",28779.8335817566,2720.27925320284,6578.42048086222,17159.9545499538,28779.8335817566,42982.1588835754,76419.0069048357,105358.099486568,12,4,2020,26,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",30197.8783312051,2890.59244135448,6979.3255983376,17848.466081968,30197.8783312051,45139.1055422836,79380.37099768,112824.736215962,12,4,2020,27,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",28991.4749834993,2827.42365250433,6713.94636040021,17080.6256619418,28991.4749834993,43538.3456590061,76947.9769628606,113408.672802144,12,4,2020,28,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",26263.2041752681,2367.32265109573,5805.35034373816,15107.5149038403,26263.2041752681,40329.9040852034,72424.2263260239,105768.140338164,12,4,2020,29,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",22982.7832495803,1866.78827762059,4932.3630982412,12931.4954858406,22982.7832495803,36806.1821710823,65788.6703932854,100487.679628863,12,4,2020,30,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",19627.5950217385,1545.71219131121,3904.92552691823,10715.9766542421,19627.5950217385,32494.630921306,59890.8766845415,92807.9881556177,12,4,2020,31,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",16550.9442950582,1138.59621122879,2973.70819765516,8783.19135448746,16550.9442950582,28767.4207000725,55025.253307469,88905.388385136,12,4,2020,1,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",13800.9254928555,832.377042752583,2158.76395851114,7062.50374050467,13800.9254928555,25069.735371028,48849.3036217332,79054.4911637938,12,4,2020,2,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",11452.1008341914,597.176931027218,1573.81965808958,5548.2129401505,11452.1008341914,21601.8014754092,43934.6603552398,75505.1657325267,12,4,2020,3,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",9483.74516405532,408.163927689502,1152.84363751202,4325.78557408997,9483.74516405532,18915.0103770891,39938.8691291819,72458.4497225976,12,4,2020,4,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",7917.91703554303,288.756397162133,821.624548384719,3365.05855399969,7917.91703554303,16393.0735267597,36420.4819418792,69057.8887803111,12,4,2020,5,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",6571.02889621672,200.595389902928,587.569691721188,2690.7733256576,6571.02889621672,14390.7297623813,33511.5584957328,66983.1682599819,12,4,2020,6,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",5571.07705026363,137.564574353516,441.523362630554,2115.01670281617,5571.07705026363,12524.7828334512,30763.4299153233,66057.5755552691,12,4,2020,7,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",4621.42955483324,92.5038534856935,318.385521606452,1679.89351328189,4621.42955483324,10957.3095990971,28414.6870387534,63915.3592983373,12,4,2020,8,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",3856.73969430837,61.6139978947178,228.46320691596,1325.00878330287,3856.73969430837,9569.61885571589,25992.8141079758,60883.4129029499,12,4,2020,9,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",3232.90044589337,40.9824340900264,164.576367203828,1055.53218153621,3232.90044589337,8377.79324089477,23916.6455170042,57979.1694097181,12,4,2020,10,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",2714.59403836112,27.4471625790937,118.463248023281,818.817745868456,2714.59403836112,7249.44146929354,22072.700772107,54099.6718248611,12,4,2020,11,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",2251.28893256661,18.885486024281,85.6694509352238,641.593225729345,2251.28893256661,6331.69305402104,20730.8731079192,50501.1307618559,12,4,2020,12,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",1871.53262630998,12.9962653407941,61.8519295287622,499.047382634391,1871.53262630998,5570.36556383089,19243.4680767551,47679.4470941976,12,4,2020,13,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",1558.66491625441,8.94432989770451,44.7022179582119,398.479573702485,1558.66491625441,4878.28245905817,17821.8527791285,46186.5598383971,12,4,2020,14,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",1301.52776732674,6.15603323451504,32.2918123889887,317.715682955993,1301.52776732674,4240.95178848911,16502.9453331474,44262.7591913318,12,4,2020,15,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",1084.94701538457,4.23709538202219,23.3448128867721,250.668559860049,1084.94701538457,3755.65672481943,15345.0648073763,42435.1679022904,12,4,2020,16,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",905.653363659691,2.84229613529187,16.8800678803957,196.109296552337,905.653363659691,3294.32443685858,14146.5514214703,41192.7708807453,12,4,2020,17,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",745.519791216378,1.90542081869909,12.2106050193466,152.886461658468,745.519791216378,2833.02319282097,13258.0415695212,39334.7894913932,12,4,2020,18,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",622.552906615345,1.27744308006412,8.83824438669451,122.126339835476,622.552906615345,2472.56942240381,12434.1051074019,38461.1543822212,12,4,2020,19,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",512.486331939826,0.856464392023796,6.39362443460772,97.5267554601855,512.486331939826,2145.41771140468,11569.9306882118,37604.0588994521,12,4,2020,20,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",421.43274642471,0.574230050091386,4.62099144273424,77.4611157317459,421.43274642471,1879.23137158493,10732.9200296356,36763.2151475546,12,4,2020,21,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",351.832821392941,0.385004740855344,3.3397786985673,60.683858662988,351.832821392941,1642.86764850796,9956.34833207246,35784.1447236418,12,4,2020,22,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",289.014495430616,0.258134882959359,2.41459136135383,47.2856329071113,289.014495430616,1436.10230019531,9172.04329713926,34657.6608923707,12,4,2020,23,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",238.446647872796,0.173071752007428,1.73847439180923,37.022084078007,238.446647872796,1248.02555925604,8321.23802477964,33558.7972830357,12,4,2020,24,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",197.373656306109,0.116038992311405,1.24224024320246,29.0117478069811,197.373656306109,1081.24268714435,7749.05369237948,32260.5353422682,12,4,2020,25,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",162.259029288069,0.077800065127334,0.887657364862405,22.7725962686247,162.259029288069,940.512073258506,7247.32553161994,30901.6201548602,12,4,2020,26,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",133.875182116017,0.0521620326122065,0.634289760156659,17.9296705889228,133.875182116017,823.426160231765,6701.42865081746,29598.3118858787,12,4,2020,27,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",110.672784988339,0.0349726048938157,0.453244664768008,14.0835216732531,110.672784988339,719.585555033257,6182.51769506807,28348.4861704702,12,4,2020,28,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",93.0259310151467,0.0234477318187906,0.326041990573204,11.0651302826099,93.0259310151467,626.884641997462,5701.44028818987,27150.0861679254,12,4,2020,29,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",77.6346455991801,0.0157207554052117,0.234922840366657,8.71079760785597,77.6346455991801,544.692476917685,5257.79423850032,26001.1216883574,12,4,2020,30,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",64.6631809719615,0.0105401285445189,0.169269672709552,6.85741088197192,64.6631809719615,471.45160273054,4848.66943986406,24899.6681858999,12,4,2020,1,5,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",53.7662867808585,0.00706673323004303,0.12196507361231,5.39837786077233,53.7662867808585,407.339139834179,4492.55680640599,23843.8656429158,12,4,2020,2,5,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",44.5647625770824,0.00473796711077916,0.0878808552996828,4.24978781261305,44.5647625770824,353.530354112181,4173.98489680222,22831.9173638358,12,4,2020,3,5,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1483009.44819726,758492.293923236,905370.467099089,1198732.85995906,1483009.44819726,1870427.75727532,2728619.73218887,3983130.56286712,12,4,2020,23,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1634009.55044084,832311.795612281,994311.394355591,1317511.83038243,1634009.55044084,2057259.5714234,2999980.88096193,4365901.66823553,12,4,2020,24,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1655352.4585158,852994.23501283,1016856.62163149,1336114.49667409,1655352.4585158,2091578.13309964,3020471.92243128,4417923.60749742,12,4,2020,25,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1681922.0989316,869176.603883206,1037452.54292717,1363337.56462436,1681922.0989316,2121968.47050788,3042930.54674598,4504105.74005207,12,4,2020,26,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1717103.19232633,892034.750445618,1057203.96739494,1390641.62115465,1717103.19232633,2161551.69238887,3104484.26062019,4593819.72892333,12,4,2020,27,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1751375.42971913,903210.450393521,1086784.87176563,1425989.59932177,1751375.42971913,2198952.02588444,3177110.00478159,4680418.11622183,12,4,2020,28,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1777316.11357609,923090.074267586,1100745.87640721,1444761.39599468,1777316.11357609,2212044.62993243,3238482.56585593,4758935.85156491,12,4,2020,29,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1800469.14872173,942839.213485841,1113464.36105809,1464328.54085591,1800469.14872173,2245328.43608258,3272347.48524398,4828211.95144089,12,4,2020,30,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1823669.78861297,962080.905253014,1130792.92540278,1478788.71755129,1823669.78861297,2276540.23473628,3311361.26120586,4887873.36333023,12,4,2020,31,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1843465.35060746,969042.671980821,1143155.66745112,1492321.62948371,1843465.35060746,2305355.68981534,3335635.45050237,4937611.2571337,12,4,2020,1,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1863183.0771411,973173.227558168,1150490.94728463,1507042.5022857,1863183.0771411,2334047.81255251,3363723.07977996,4940361.12215901,12,4,2020,2,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1880439.77879012,985712.734753958,1156199.76988775,1519136.64949704,1880439.77879012,2358221.18944644,3396686.963848,5018217.91473529,12,4,2020,3,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1895710.16332529,993843.893317817,1160839.05498088,1523635.01061575,1895710.16332529,2378476.97216838,3433682.19839983,5048428.29405539,12,4,2020,4,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1906777.47190742,995497.278183513,1164869.11747864,1536831.23475371,1906777.47190742,2393434.0923527,3465596.97686682,5058652.76968007,12,4,2020,5,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1918088.50168909,995769.610225154,1169300.05713197,1548323.35434836,1918088.50168909,2406883.94953203,3484159.56142316,5061526.23486808,12,4,2020,6,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1925337.41947162,1001226.14300544,1171004.18676509,1555816.22358865,1925337.41947162,2416433.76469322,3510758.46643416,5063645.52613187,12,4,2020,7,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1934906.68115761,1006845.71024171,1172598.14093918,1558947.32430734,1934906.68115761,2422034.35624177,3526057.47898813,5073506.99010363,12,4,2020,8,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1942382.80952436,1011803.69607415,1174215.66854566,1560323.71777225,1942382.80952436,2435508.51580095,3531593.08982008,5096428.33931811,12,4,2020,9,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1950317.49156271,1016179.44298184,1176178.38793973,1564793.70227601,1950317.49156271,2441923.88457307,3537827.14141499,5116149.99352671,12,4,2020,10,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1956105.27647459,1020042.28960316,1176678.66468637,1568209.15948956,1956105.27647459,2447308.32797386,3547180.10115334,5133118.90028181,12,4,2020,11,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1962299.7164791,1023452.93298899,1177576.06139665,1570045.02294516,1962299.7164791,2452857.00113728,3563609.7343588,5147719.57725832,12,4,2020,12,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1966574.71355915,1026464.62487508,1179990.21812431,1573315.49666819,1966574.71355915,2458469.43544484,3587297.2235526,5160282.80244279,12,4,2020,13,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1971169.03187959,1029124.18454349,1182122.96846622,1575025.12551868,1971169.03187959,2463763.10396042,3599820.3040167,5171093.12638651,12,4,2020,14,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1975502.28680212,1031484.1596009,1183988.79830264,1576342.12096675,1975502.28680212,2470608.92211305,3610924.03675364,5186933.82597798,12,4,2020,15,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1978641.17661673,1033605.54716484,1185650.95539078,1577829.0416299,1978641.17661673,2473244.56945498,3620769.3829633,5191218.02420707,12,4,2020,16,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1983283.18984126,1035480.82872047,1187090.42694244,1583449.44094411,1983283.18984126,2483371.955168,3629499.05026995,5249022.36529681,12,4,2020,17,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1986350.29078681,1037138.61641769,1188337.05043329,1584233.50424279,1986350.29078681,2484989.91324405,3637239.56191814,5300520.62314418,12,4,2020,18,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1987823.94880287,1038604.19081529,1189581.15789398,1584543.60252182,1987823.94880287,2486936.9532483,3644103.09045,5330326.1989431,12,4,2020,19,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1989122.4584036,1038817.55543978,1191692.96585595,1584813.56954499,1989122.4584036,2487299.55546466,3650189.08372747,5357818.00914116,12,4,2020,20,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1990267.09064464,1038893.52710681,1192264.95123063,1585035.53354374,1990267.09064464,2489337.15826623,3655585.70722692,5390134.94215907,12,4,2020,21,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1991984.52689229,1038957.57997335,1192751.81778479,1585218.06275582,1991984.52689229,2490084.32500613,3658967.05826797,5437388.29923517,12,4,2020,22,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1993949.04895041,1039011.92349227,1193166.2423681,1585368.18836503,1993949.04895041,2494387.74338427,3661659.17899198,5482283.55314671,12,4,2020,23,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1995696.9229032,1039058.32169166,1193519.0125021,1585491.68204243,1995696.9229032,2497672.36384501,3664412.31704658,5509343.74769444,12,4,2020,24,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1997062.43412193,1039098.18617583,1193819.30813784,1585599.05051437,1997062.43412193,2500482.74020109,3673057.42623612,5509772.49338358,12,4,2020,25,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",1998589.02900278,1039132.64944467,1194105.77705658,1586329.96853929,1998589.02900278,2505351.77672291,3675931.40597396,5510146.88508175,12,4,2020,26,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",2000479.46559008,1039162.62271793,1194442.91923389,1586354.63575473,2000479.46559008,2506303.17203232,3678481.48800413,5510165.15218606,12,4,2020,27,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",2000492.77007049,1039188.8415584,1194734.6780834,1587583.50696094,2000492.77007049,2508789.96744463,3680744.20173605,5512158.96127104,12,4,2020,28,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",2000503.35455509,1039211.90188614,1194987.16546556,1588129.77997217,2000503.35455509,2509569.53477908,3695666.29139442,5525484.92443239,12,4,2020,29,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",2000511.77600649,1040151.71449928,1195205.669749,1588328.78730396,2000511.77600649,2510033.35016027,3710167.22353322,5537816.72764946,12,4,2020,30,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections_cum",2001259.52140203,1041545.45143422,1195394.76682106,1588532.35131444,2001259.52140203,2510436.89188511,3710375.35614285,5549228.50691986,12,4,2020,1,5,2020,"forecast - relaxed prior"
